;date;product;platform;text
0;2025-11-30 15:59:22.456961;Видео-платформа;ANDROID;Не те фильмы и сериалы 
1;2025-11-28 19:57:37.267498;Видео-платформа;ANDROID;Навязывание всяких опросов
2;2025-11-18 11:57:05.569637;Видео-платформа;ANDROID;Недьзя  свернуть
3;2025-11-23 05:56:30.437893;Видео-платформа;IOS;Когда смотришь с телефона, через несколько минут требует фейс айди
4;2025-11-17 20:00:34.470556;Видео-платформа;ANDROID;Трафик улетает с тройной скоростью
5;2025-11-18 21:58:19.307409;Видео-платформа;IOS;Список доступных фильмов+ стоимость, навигация не удобная, приходится постоянно включать поворот экрана, в Ютубе например, с этим все проще
6;2025-11-21 06:48:43.105372;Видео-платформа;ANDROID;Программа телепередач не совподает с транслируемыми каналами
7;2025-11-23 13:03:30.341661;Видео-платформа;IOS;Опять зависают программыTV (особенно НТВ),так уже было,потом исправили,теперь опять
8;2025-11-24 22:59:01.707494;Видео-платформа;ANDROID;Маленькая коллекция фильмов хороших. Подписка внутри подписки бред. 
9;2025-11-30 05:20:20.572206;Видео-платформа;IOS;Не могу убрать карту. Приложением не пользуюсь . Деньги списываются 
10;2025-11-25 09:41:49.676342;Видео-платформа;IOS;Нет  сети. 
11;2025-11-30 16:33:23.849499;Видео-платформа;IOS;Не пользуюсь а списывает без предупреждения 
12;2025-11-20 17:00:11.936865;Видео-платформа;IOS;Прилипала. Невозможно отписаться
13;2025-11-29 16:58:50.586023;Видео-платформа;ANDROID;Ничего!
14;2025-11-30 00:01:38.909343;Видео-платформа;ANDROID;"Раньше когда я подключил премиум кино был безлимит сейчас доплачиваю и то не хватает ""безлимит"", какой безлимит если есть ограниченья? "
15;2025-11-21 11:59:15.164700;Видео-платформа;ANDROID;С подпиской и вы задолбали своими рекламами прерывание эфир на ваши оекламы
16;2025-11-30 00:52:13.424022;Видео-платформа;IOS;Нет интернета 
17;2025-11-20 05:49:16.443600;Видео-платформа;IOS;Реклама, появляющаяся поверх каналов, не приветствуется.
18;2025-12-01 00:46:52.166415;Видео-платформа;IOS;Мало фильмов 
19;2025-11-21 12:44:41.082207;Видео-платформа;IOS;Мало фильмов и сериалов которые я смотрю 
